A_CpG_ID	TCGA-OR-A5JP-01A	TCGA-OR-A5JA-01A	TCGA-P6-A5OG-01A	TCGA-OR-A5J9-01A	TCGA-OR-A5LK-01A	TCGA-OR-A5JE-01A	TCGA-OR-A5JC-01A	TCGA-OR-A5J1-01A	TCGA-OR-A5LH-01A	TCGA-OR-A5J6-01A	TCGA-OR-A5LM-01A	TCGA-OR-A5K9-01A	TCGA-OR-A5LB-01A	TCGA-OR-A5LA-01A	TCGA-OR-A5JF-01A	TCGA-OR-A5K0-01A	TCGA-OR-A5LC-01A	TCGA-OR-A5K1-01A	TCGA-PK-A5HA-01A	TCGA-OR-A5JX-01A	TCGA-OR-A5KY-01A	TCGA-OR-A5L4-01A	TCGA-OR-A5KW-01A	TCGA-OR-A5JZ-01A	TCGA-OU-A5PI-01A	TCGA-OR-A5JJ-01A	TCGA-OR-A5L3-01A	TCGA-OR-A5JT-01A	TCGA-OR-A5LE-01A	TCGA-OR-A5K3-01A	TCGA-OR-A5LD-01A	TCGA-OR-A5LG-01A	TCGA-OR-A5KT-01A	TCGA-OR-A5LS-01A	TCGA-OR-A5LT-01A	TCGA-OR-A5LL-01A	TCGA-OR-A5J8-01A	TCGA-OR-A5JO-01A	TCGA-OR-A5LO-01A	TCGA-OR-A5LN-01A	TCGA-OR-A5JY-01A	TCGA-OR-A5J4-01A	TCGA-OR-A5K4-01A	TCGA-PA-A5YG-01A	TCGA-OR-A5JW-01A	TCGA-OR-A5J5-01A	TCGA-OR-A5JI-01A	TCGA-P6-A5OF-01A	TCGA-OR-A5J2-01A	TCGA-OR-A5LR-01A	TCGA-OR-A5JR-01A	TCGA-PK-A5HB-01A	TCGA-OR-A5L9-01A	TCGA-OR-A5KO-01A	TCGA-OR-A5K5-01A	TCGA-OR-A5J3-01A	TCGA-OR-A5LP-01A	TCGA-OR-A5JB-01A	TCGA-OR-A5JM-01A	TCGA-OR-A5L6-01A	TCGA-OR-A5LJ-01A	TCGA-OR-A5L5-01A	TCGA-OR-A5JV-01A	TCGA-OR-A5L8-01A	TCGA-OR-A5K6-01A	TCGA-PK-A5H8-01A	TCGA-OR-A5K2-01A	TCGA-OR-A5JG-01A	TCGA-OR-A5KZ-01A	TCGA-OR-A5JS-01A	TCGA-PK-A5H9-01A	TCGA-OR-A5JK-01A	TCGA-OR-A5JL-01A	TCGA-OR-A5JQ-01A	TCGA-OR-A5J7-01A	TCGA-OR-A5K8-01A	TCGA-OR-A5KX-01A	TCGA-OR-A5KV-01A	TCGA-OR-A5JD-01A	TCGA-OR-A5KU-01A
cg00301256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00314276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00318682	0.875424082993494	0.22352735060589	0.575001367576414	0.930181304806213	0.44542711548592	0.857938659843521	0.653530973833796	0.57492823892688	0.250458079085247	0.409414506374933	0.449241997334222	0.615025607598204	0.602104609131025	0.82871091040449	0.297870832077637	0.583742051234438	0.696944517333239	0.162407979038359	0.344755085344341	0.571570705627008	0.898587892838387	0.221618520277815	0.4461200007163	0.501500303958678	0.348801786416658	0.723717839557342	0.190103528384815	0.135975598207199	0.114589538870006	0.181575342950799	0.926306912403468	0.154254969367733	0.344433628074859	0.171922188509141	0.116654030495246	0.187924120015775	0.366325462051691	0.344503677752729	0.937853782823	0.508228673372411	0.19712739810656	0.16921869082241	0.0987890321405649	0.466003325371884	0.251111066427447	0.908810019498404	0.558113905448979	0.335666279977341	0.172177518887759	0.893296768960422	0.276581875011451	0.178259575225762	0.671074705224869	0.874262003107065	0.840401120876364	0.164558523667028	0.450258883389425	0.664424565535253	0.537936174571931	0.499061818376105	0.295501842162088	0.416103673557191	0.589536184880592	0.297333905871231	0.408947795897258	0.158452820761952	0.746646554871497	0.918516408043018	0.189930584461842	0.870611755922086	0.180961289102868	0.402724532098626	0.761423616876912	0.339981721106965	0.911255808137203	0.147224554579713	0.825451300650537	0.923262183297181	0.363281166139853	0.333363316712976
cg00336555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00359421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00379272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00410323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00422716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00440702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00480643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00489467	0.958474764695154	0.907713063291141	0.945134456321126	0.966428044544974	0.948550336703495	0.954896648262324	0.958768697098164	0.967715557770002	0.961549965398531	0.941958488126534	0.963658454500395	0.974801248122839	0.968691997895204	0.956644799147293	0.952023209108787	0.952362294894322	0.916843647080002	0.958292027139843	0.963923795179918	0.965668456893664	0.962127514617474	0.952822140017956	0.95611231279202	0.963222399280904	0.969150128029865	0.960805305541302	0.966090279830073	0.963813507879693	0.930699317342658	0.96345641057675	0.968366108030398	0.928077255706404	0.951767049039012	0.960182285315807	0.976692020408192	0.918511449577065	0.938761460224637	0.954023631276834	0.95236909290569	0.970542167297302	0.957511829543039	0.947208588652942	0.975452277635242	0.945552634418171	0.939658787387471	0.958752037499444	0.960212593878618	0.955348850243137	0.963796939051875	0.964440570785744	0.960020951441334	0.960234192169513	0.967306989124613	0.954282573578388	0.943043475492901	0.961739584255899	0.963870963994013	0.968018683064709	0.965706253891156	0.962679007957305	0.969555961111784	0.948521533262277	0.965345544527962	0.961104101251899	0.948357586131313	0.974193086784164	0.967634384795937	0.949275474722927	0.963187511696334	0.942929849050405	0.955088713587775	0.937090383660494	0.959057414505304	0.951561453353439	0.951392804963897	0.967087028883217	0.968719223702644	0.948076357101251	0.967801081491227	0.974359869965039
cg00502041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00506859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00516867	0.391954397153469	0.275447228857602	0.744428311270607	0.125940271214859	0.890864055335468	0.640247464515611	0.543176428130764	0.166099442267191	0.574586014477859	0.787956496635976	0.396273078900752	0.550028615480766	0.178339346298029	0.358366541575958	0.215793067334185	0.460071889237743	0.590967571727682	0.183274926957096	0.914962099328508	0.435439286785653	0.453272758149901	0.14237419175937	0.103753444934303	0.234285522525195	0.202608019504001	0.250217622070122	0.494938955935441	0.144850403895044	0.657198098344497	0.18550427110961	0.638686877903311	0.214223064641431	0.526864699935425	0.570647135535744	0.934976072828324	NA	0.86986646213225	NA	0.350121178223722	0.449227538601565	0.317883694937924	0.606486813716203	0.222819896047997	0.347159005920382	0.35768041101354	0.111116147407645	0.723324366878318	0.27423518757794	0.312252958130552	NA	0.18590716336132	0.65212202871044	0.449643007296256	0.495562182512281	0.615390731207363	0.132466831271359	0.241693507235667	0.689177076585953	NA	0.251825442176175	0.156281228535194	0.582899391451002	0.479216539057658	0.198376248000025	0.870644406834961	0.143281476681042	0.400121791242633	0.115136446434696	0.400139799924837	0.663421693013526	0.455876889847677	0.396748566544836	0.399276403380249	0.673297828710898	0.823836429658817	0.17215883801902	0.647706078760362	0.10815282401211	0.66487520910772	0.224732471572832
cg00531054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00552235	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00589791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00591353	0.931838468662038	0.892188654115294	0.926288458946778	0.933307758246665	0.897295450822071	0.919219126091653	0.924558250714354	0.885537002626231	0.89737684523789	0.935208172211055	0.912948155152251	0.86353816269136	0.901524183823893	0.916997844998874	0.922924014412386	0.893424787329854	0.908718492479057	0.90979535779396	0.93858209844702	0.898897661175549	0.931990000368633	0.909353194497909	0.927832695312371	0.929307215149797	0.919109538263886	0.901613980774905	0.931029042362295	0.934251458062584	0.91471628441709	0.923351873433514	0.911528755624539	0.930441548749845	0.896794119398752	0.929815875112799	0.914123405673398	0.923268945754792	0.847719751814166	0.928059312310024	0.943294915810327	0.909736227707541	0.888116900910781	0.921057658258274	0.855311097284038	0.897275775501375	0.91326219101007	0.912976546782685	0.923177607613203	0.941612025576761	0.911645370817971	0.921857470477959	0.897245693406969	0.914941723164127	0.915153583287933	0.921649341285622	0.929245483103824	0.923443493827508	0.91652085131317	0.917436848947299	0.915865401696971	0.920170941018987	0.919452393578047	0.898707220201207	0.889937762979179	0.902948434319671	0.89529800271824	0.915757388330221	0.906305371453454	0.94130924425615	0.903697536144674	0.932472751888808	0.937884690376444	0.889166846892063	0.902281639860867	0.904439008815004	0.938577407938795	0.935064028190495	0.929849359359328	0.911665550825047	0.909706949847773	0.913593256199702
cg00594488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00687674	0.221370023837054	0.129243915446077	0.408103676456226	0.853070077658861	0.442261311016405	0.464710626352389	0.128007318559939	0.474149750916916	0.591039878481787	0.108258253796586	0.0853801537872047	0.93903729936021	0.888231748562229	0.187729795276577	0.165462815041145	0.872299183379064	0.156845136384668	0.564631041176432	0.183975570947702	0.104242326782479	0.702740701864815	0.093145667001463	0.141534011033432	0.0415980297756617	0.511824227292198	0.686484148038349	0.544347317487727	0.0625799025096275	0.660629804840608	0.727343984056371	0.877524990897142	0.113641621332374	0.323695522493495	0.851001212919344	0.901925273498871	0.661558181700122	0.210794750391416	0.407885327231865	0.873892433574113	0.19794835762539	0.27675951802609	0.701077522050977	0.33895278855367	0.620007264425445	0.919244305427602	0.484971488455186	0.421231495623817	0.514159560851179	0.164502132200692	0.275721264805935	0.438512506520715	0.876313000082936	0.216658368704297	0.792585077614774	0.851320259670861	0.196975139896759	0.684828530832769	0.682257036419639	0.335394169823103	0.592275095225378	0.667240739632578	0.544095128243212	0.653195619253479	0.840564383842134	0.727268429722085	0.0762360031219584	0.385519416102011	0.887862965343946	0.577450452226637	0.696363848027856	0.469326832162174	0.164948707926833	0.0776818629974706	0.690534514417989	0.233434808568998	0.895092467324683	0.800332174021739	0.659327112272105	0.797917887551301	0.499125205530489
cg00702369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00727386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00738299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00795247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00795885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00809453	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
