A_CpG_ID	TCGA-YZ-A983-01A	TCGA-V4-A9ET-01A	TCGA-WC-A880-01A	TCGA-V4-A9EW-01A	TCGA-WC-A87T-01A	TCGA-VD-AA8P-01A	TCGA-VD-A8KG-01A	TCGA-V4-A9EK-01A	TCGA-V4-A9EZ-01A	TCGA-V4-A9F4-01A	TCGA-WC-A88A-01A	TCGA-V3-A9ZX-01A	TCGA-V4-A9F8-01A	TCGA-VD-A8K8-01A	TCGA-V4-A9F0-01A	TCGA-WC-A883-01A	TCGA-V4-A9EF-01A	TCGA-V4-A9EQ-01A	TCGA-VD-A8KL-01A	TCGA-V4-A9E7-01A	TCGA-V4-A9F7-01A	TCGA-VD-AA8S-01B	TCGA-VD-AA8N-01A	TCGA-WC-A881-01A	TCGA-YZ-A984-01A	TCGA-VD-AA8T-01A	TCGA-VD-A8KM-01A	TCGA-VD-A8KI-01A	TCGA-VD-A8KO-01A	TCGA-WC-AA9A-01A	TCGA-RZ-AB0B-01A	TCGA-V4-A9E5-01A	TCGA-WC-A87Y-01A	TCGA-VD-A8KB-01A	TCGA-WC-A888-01A	TCGA-V4-A9ED-01A	TCGA-WC-A87U-01A	TCGA-V4-A9EM-01A	TCGA-WC-A882-01A	TCGA-VD-A8KJ-01A	TCGA-V4-A9EX-01A	TCGA-VD-A8KD-01A	TCGA-VD-AA8M-01A	TCGA-VD-A8KN-01A	TCGA-V4-A9EJ-01A	TCGA-V4-A9EV-01A	TCGA-VD-A8K9-01A	TCGA-V4-A9EO-01A	TCGA-VD-A8KK-01A	TCGA-V3-A9ZY-01A	TCGA-YZ-A980-01A	TCGA-VD-A8KA-01B	TCGA-VD-A8KH-01A	TCGA-WC-AA9E-01A	TCGA-V4-A9E9-01A	TCGA-V4-A9EH-01A	TCGA-V4-A9EY-01A	TCGA-VD-AA8Q-01A	TCGA-V4-A9F2-01A	TCGA-WC-A87W-01A	TCGA-VD-A8K7-01B	TCGA-V4-A9EL-01A	TCGA-VD-A8KF-01A	TCGA-V4-A9F1-01A	TCGA-VD-AA8R-01A	TCGA-WC-A884-01A	TCGA-V4-A9EU-01A	TCGA-V4-A9EA-01A	TCGA-V4-A9F5-01A	TCGA-VD-A8KE-01A	TCGA-YZ-A982-01A	TCGA-VD-AA8O-01A	TCGA-V4-A9EI-01A	TCGA-V4-A9E8-01A	TCGA-V4-A9ES-01A	TCGA-V4-A9F3-01A	TCGA-YZ-A985-01A	TCGA-V4-A9EE-01A	TCGA-V4-A9EC-01A	TCGA-WC-A885-01A
cg00301256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00314276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00318682	0.943549301572878	0.940743628173425	0.913221025089425	0.757050859057342	0.933264336775618	0.945823561132343	0.913308327237134	0.93760024516629	0.671942154824881	0.920408933996707	0.904901068175961	0.927796870481632	0.943332727694666	0.902004362620114	0.935891162061401	0.851136098016905	0.900929451887327	0.94206390409717	0.780505888469948	0.93211846245612	0.942741616569462	0.931675466206109	0.8936015795294	0.90458337551703	0.936246155012208	0.930608276038681	0.858855586679141	0.936613564301269	0.94752813099215	0.958209901448777	0.899416768070207	0.630529756475647	0.928556600534132	0.779234071224713	0.878109369595306	0.928235828275367	0.928807034587153	0.243450962200124	0.918986090158849	0.938423739335571	0.84448115995569	0.894521440972517	0.879233133610132	0.906643589401459	0.905982109494085	0.857218552941376	0.823968834450869	0.952574802416888	0.902530296326059	0.846617842442266	0.924857830976409	0.936504029775384	0.919860692597354	0.931602551094659	0.698611195456488	0.949805637591713	0.907888855090115	0.940120357915228	0.77738846806548	0.94754287311389	0.928203894068632	0.901512292798531	0.948322875116006	0.939503860446358	0.941640847147063	0.907565941773875	0.936460124165886	0.915574494729108	0.943966319079537	0.938529861394095	0.764014010655269	0.849314392133881	0.901261675699291	0.883005756985721	0.938229417983071	0.912060093435838	0.927334466960859	0.88821886429397	0.835426177606995	0.9202981899571
cg00336555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00359421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00379272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00410323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00422716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00440702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00480643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00489467	0.953739407519728	0.960206657061085	0.951418111783101	0.971983335453665	0.954163287771513	0.961919442721079	0.963608543442407	0.95853828314956	0.963187030934517	0.967746239289963	0.961902125881156	0.9490833246964	0.969203473668848	0.961934290240449	0.962651582045544	0.926539331294492	0.954708709637245	0.951289280621664	0.958325160236525	0.971292570304046	0.962651655741857	0.969126801725638	0.957522044365951	0.961993038049873	0.951276311253792	0.95897497600759	0.948708962916993	0.95599508544898	0.963444738466288	0.958130640560247	0.946025493660318	0.952699752046587	0.957590593518911	0.960279261765103	0.966516298352397	0.9483298049569	0.961331907895687	0.952070272080937	0.934844997528577	0.950752697428388	0.955757292576345	0.941875714286064	0.962755816442682	0.955800211087559	0.946461168857283	0.953608705588213	0.972009247833182	0.961906687052382	0.969474087889699	0.960622561607143	0.959228411980759	0.945833190336807	0.965830334433719	0.964742971301214	0.951331355762649	0.963647779390001	0.96369937915423	0.961274995062421	0.946849402440486	0.946941114094273	0.957455283542768	0.940942103700523	0.971120329819343	0.957475267535975	0.966050660585876	0.959237256396326	0.958873635673016	0.967293864630642	0.958117017701513	0.968374827798351	0.948793579616214	0.967799408382839	0.950116922571968	0.966419777008074	0.965868000062157	0.939313747686271	0.950162245541083	0.944620363267858	0.954455460502756	0.969140252337329
cg00502041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00506859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00516867	0.662936188101363	0.893136346515264	0.533100804439115	0.78129424857903	0.756364258186482	0.62959449178258	0.24453483767197	0.686016591440261	0.190596049000935	0.477216666941372	0.18515244129274	0.292405465337402	0.177369331089934	0.442409327703977	0.310819866940876	0.167640395932194	0.879730663070128	0.120571116338147	0.660178070530006	0.113620207067367	0.491615249928524	0.480015593693323	0.500611601421226	0.848610440299673	0.630992678682908	0.117141576923151	0.552399889171037	0.442084867492131	0.648690696076483	0.103428375184426	0.692629880994625	0.850618140407283	0.434882600857018	0.694090239078173	0.31649270313286	0.607772784108854	0.686944438099129	0.223858875525682	0.723682888381467	0.691879586171176	0.220981178793514	0.729510272302553	0.437446462809121	0.196291764525591	0.437034985201639	0.571097050928603	0.51354597410166	0.168775543118531	0.882518774185564	0.674167226283407	0.834113651025822	0.543397371184797	0.330654592047002	0.880575822798215	0.522299850786425	0.88211165158382	0.636768862213159	0.342411624127082	0.434926142232035	0.543033643291457	0.555602535062412	0.241978185740021	0.478356818824565	0.585468365081302	0.741683772913853	0.596069098283587	0.190243414296596	0.710657632276551	0.481101775506147	0.498482186327603	0.693661672930473	0.62230879998108	0.209305290757176	0.316037502828063	0.190983852306207	0.468937728478737	0.0907312940170639	0.214635969103915	0.616134988369367	0.493111673141118
cg00531054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00552235	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00589791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00591353	0.913169153153661	0.923131096166485	0.927182266968835	0.925281777920755	0.884422250050431	0.909690636041839	0.914996309914869	0.937786386926865	0.916511976457735	0.907662680879389	0.905554830094254	NA	0.887062138886805	0.862710180978932	0.923191188745521	0.898226987968389	0.913744573463316	0.92702205969226	0.928825996895159	0.882349748261123	0.867993417344201	0.933727011686001	0.925119598479593	0.915655696252569	0.900603131555368	0.94037089097966	0.873157511358652	0.927431150186704	0.932117264556171	0.905193222419198	0.892708215338846	0.880788422340667	0.911795558371244	0.902400660136263	0.894488148532441	0.908097590701343	0.901642851095456	0.870170239898173	0.928803676846093	0.910561465092253	0.931805844181884	0.928759070619903	0.935812568162228	0.907028241191164	0.926765643633713	0.899258922399403	0.918417258471946	0.923517486298822	0.905061048694876	0.904057320712621	0.906680924113073	0.929180280481415	0.924363496247289	0.928156497331867	0.908141237072565	0.914989787677342	0.906352085048269	0.926118018513572	0.873462842169409	0.919366534178307	0.926367459649371	0.908676865493249	0.901802683392863	0.920871595690021	0.93036207630737	0.919217004679959	0.897463793094858	0.910564144856172	0.903080095553918	0.895784553596202	0.92412602221422	0.888880864777612	0.92164383652775	0.920958689377395	0.889610645461266	0.901989722655061	0.931442440192105	0.877307853694856	0.901108141890255	0.888410027479068
cg00594488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00687674	0.0543980117491816	0.327641216813022	0.0554358259904297	0.0438875018771048	0.0610109998387346	0.162079034424893	0.143169877797376	0.16948268696627	0.186329384260251	0.231442429763459	0.112510753260138	0.194235812167225	0.101767314020494	0.179825680751649	0.431884598777507	0.20050632519054	0.142437633554588	0.198172877160545	0.170204975469434	0.259167565206598	0.0538041963591552	0.200066479982168	0.205390542735743	0.147318992720452	0.254797159514655	0.158121720250448	0.252881440676212	0.158213526083002	0.0617963348892125	0.0490217902512007	0.196990615479218	0.0436379084480615	0.269608308992074	0.112479242651463	0.331024325863098	0.23921626204312	0.0555736872891585	0.0602068864787833	0.223535563637947	0.126547165489588	0.216590220542566	0.280334030105603	0.167786610296491	0.161471964528513	0.0494488573225229	0.228415334668823	0.0520221380538497	0.0933735385031848	0.11376797239494	0.0981384015629572	0.475023263345095	0.0609257244070131	0.0800108019763875	0.249267616186176	0.0660563383857815	0.11675088402859	0.108310728385641	0.125660054408912	0.0954385796068111	0.124128247077167	0.056698578251727	0.237610796436884	0.215266078108692	0.244543926967079	0.194465661743935	0.249223857513081	0.248772446065565	0.046431746996462	0.27416966887911	0.0725539434113898	0.277904358590255	0.0881593778530002	0.186273436104653	0.234797822967103	0.327970769048622	0.213018216370009	0.18895725199172	0.130624341593198	0.0897608538152605	0.0669617002768915
cg00702369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00727386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00738299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00795247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00795885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00809453	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
